compound_id,batch_id,target_name,canonical_smiles,ic50_um,pic50,max_inhibition_pct,r2_fit,hill_slope,curve_qc_pass,mw_da,clogp,assay_date
CMPD-2026-10000,B-03,EGFR,Cc1ccc(nc1)Nc2cc(nn2C)c3ccc(cc3)F,12.4755,4.9,94.9,0.621,1.16,False,204.7,3.41,2026-07-05
CMPD-2026-10001,B-01,SMARCA2,CN1CCN(CC1)Cc2ccc(cc2)C(=O)Nc3cccc(c3)C(F)(F)F,2.1582,5.67,85.6,0.676,0.77,False,376.5,2.37,2026-05-19
CMPD-2026-10002,B-01,EGFR,CN1CCN(CC1)Cc2ccc(cc2)C(=O)Nc3cccc(c3)C(F)(F)F,18.9333,4.72,92.5,0.622,0.9,False,365.0,2.53,2026-03-10
CMPD-2026-10003,B-03,EGFR,c1ccc2c(c1)nc(s2)NC(=O)c3ccc(cc3)Cl,100.0,4.0,80.8,0.477,0.73,False,425.3,1.65,2026-06-02
CMPD-2026-10004,B-02,EGFR,c1ccc(cc1)C(=O)Nc2ccc(cc2)S(=O)(=O)N,1.6558,5.78,89.0,0.499,1.03,False,500.2,2.18,2026-02-17
CMPD-2026-10005,B-01,SMARCA2,c1ccc(cc1)C(=O)Nc2ccc(cc2)S(=O)(=O)N,1.6559,5.78,86.1,0.696,1.34,False,453.2,1.71,2026-06-10
CMPD-2026-10006,B-01,SMARCA2,CC1CCN(CC1)c2ccc(cc2)Nc3ncc(c(n3)C4=CCCCCC4)F,100.0,4.0,100.0,0.519,0.75,False,362.5,2.13,2026-06-11
CMPD-2026-10007,B-01,SMARCA2,CN1CCN(CC1)Cc2ccc(cc2)C(=O)Nc3cccc(c3)C(F)(F)F,26.3586,4.58,91.1,0.663,1.2,False,308.1,4.36,2026-05-16
CMPD-2026-10008,B-03,EGFR,CN1CCN(CC1)Cc2ccc(cc2)C(=O)Nc3cccc(c3)C(F)(F)F,0.8642,6.06,92.1,0.773,0.89,False,547.3,2.16,2026-03-18
CMPD-2026-10009,B-01,EGFR,c1ccc(cc1)CN2CCN(CC2)c3cccc(c3)Cl,14.1603,4.85,83.1,0.566,0.81,False,383.8,6.1,2026-05-16
CMPD-2026-10010,B-03,SMARCA2,Cc1ccc(nc1)Nc2cc(nn2C)c3ccc(cc3)F,0.8788,6.06,82.1,0.546,1.02,False,380.9,3.74,2026-04-29
CMPD-2026-10011,B-03,EGFR,c1ccc(cc1)C(=O)Nc2ccc(cc2)S(=O)(=O)N,0.8732,6.06,82.8,0.759,0.74,False,378.4,3.4,2026-03-04
CMPD-2026-10012,B-03,SMARCA2,c1ccc2c(c1)nc(s2)NC(=O)c3ccc(cc3)Cl,6.171,5.21,92.7,0.734,0.88,False,392.9,2.26,2026-02-08
CMPD-2026-10013,B-01,SMARCA2,c1ccc(cc1)C(=O)Nc2ccc(cc2)S(=O)(=O)N,0.016,7.8,82.9,0.826,0.69,False,370.6,3.97,2026-02-08
CMPD-2026-10014,B-03,SMARCA2,c1ccc2c(c1)nc(s2)NC(=O)c3ccc(cc3)Cl,0.0269,7.57,91.5,0.848,1.64,False,342.7,2.57,2026-07-02
CMPD-2026-10015,B-02,EGFR,CC1CCN(CC1)c2ccc(cc2)Nc3ncc(c(n3)C4=CCCCCC4)F,0.6687,6.17,100.0,0.762,1.06,False,344.5,3.33,2026-05-05
CMPD-2026-10016,B-01,SMARCA2,c1ccc2c(c1)nc(s2)NC(=O)c3ccc(cc3)Cl,0.1926,6.72,98.5,0.776,0.84,False,377.9,6.02,2026-04-15
CMPD-2026-10017,B-01,EGFR,Cc1ccc(nc1)Nc2cc(nn2C)c3ccc(cc3)F,7.5352,5.12,84.1,0.701,1.11,False,344.7,3.09,2026-05-03
CMPD-2026-10018,B-01,EGFR,Cc1ccc(nc1)Nc2cc(nn2C)c3ccc(cc3)F,0.2573,6.59,100.0,0.832,1.02,False,333.7,4.46,2026-04-30
CMPD-2026-10019,B-01,SMARCA2,COc1cc2c(nc(nc2cc1OCC)N3CCN(CC3)C(=O)C4CCCO4)N,0.0639,7.19,83.1,0.731,0.98,False,386.9,2.43,2026-05-14
CMPD-2026-10020,B-01,SMARCA2,COc1cc2c(nc(nc2cc1OC)N3CCN(CC3)C(=O)C4CCCO4)N,100.0,4.0,63.5,0.532,1.23,False,363.4,3.16,2026-01-28
CMPD-2026-10021,B-03,SMARCA2,Cc1ccc(nc1)Nc2cc(nn2C)c3ccc(cc3)F,1.6946,5.77,75.9,0.771,1.28,False,477.8,5.15,2026-07-06
CMPD-2026-10022,B-03,SMARCA2,COc1cc2c(nc(nc2cc1OCC)N3CCN(CC3)C(=O)C4CCCO4)N,3.811,5.42,65.6,0.659,0.89,False,207.7,2.51,2026-07-01
CMPD-2026-10023,B-01,EGFR,COc1cc2c(nc(nc2cc1OC)N3CCN(CC3)C(=O)C4CCCO4)N,0.0617,7.21,83.8,0.717,0.88,False,450.9,5.19,2026-06-29
CMPD-2026-10024,B-03,EGFR,Cc1ccc(nc1)Nc2cc(nn2C)c3ccc(cc3)F,0.7027,6.15,88.2,0.833,0.97,False,461.0,3.98,2026-02-09
CMPD-2026-10025,B-01,SMARCA2,Cc1ccc(nc1)Nc2cc(nn2C)c3ccc(cc3)F,4.2964,5.37,100.0,0.598,0.36,False,245.2,2.58,2026-01-30
CMPD-2026-10026,B-03,EGFR,CC1CCN(CC1)c2ccc(cc2)Nc3ncc(c(n3)C4=CCCCCC4)F,0.1315,6.88,91.9,0.761,0.6,False,357.7,3.9,2026-04-28
CMPD-2026-10027,B-03,EGFR,COc1ccn2c(c1)c(c(n2)C)CC(=O)O,8.9297,5.05,85.4,0.663,1.46,False,355.9,4.27,2026-04-11
CMPD-2026-10028,B-03,EGFR,CC1CCN(CC1)c2ccc(cc2)Nc3ncc(c(n3)C4=CCCCCC4)F,0.6015,6.22,98.0,0.854,1.54,True,288.5,3.88,2026-02-11
CMPD-2026-10029,B-03,EGFR,CN1CCN(CC1)Cc2ccc(cc2)C(=O)Nc3cccc(c3)C(F)(F)F,1.4124,5.85,61.5,0.808,0.98,False,329.4,1.47,2026-03-19
CMPD-2026-10030,B-02,EGFR,CC1CCN(CC1)c2ccc(cc2)Nc3ncc(c(n3)C4=CCCCCC4)F,0.5997,6.22,90.8,0.724,1.22,False,307.8,2.4,2026-03-05
CMPD-2026-10031,B-01,SMARCA2,c1ccc(cc1)C(=O)Nc2ccc(cc2)S(=O)(=O)N,100.0,4.0,97.3,0.581,1.14,False,493.9,2.93,2026-03-04
CMPD-2026-10032,B-02,EGFR,Cc1ccc(nc1)Nc2cc(nn2C)c3ccc(cc3)F,3.0465,5.52,70.3,0.654,1.97,False,440.8,3.12,2026-06-01
CMPD-2026-10033,B-03,SMARCA2,CC1CCN(CC1)c2ccc(cc2)Nc3ncc(c(n3)C4=CCCCCC4)F,0.1701,6.77,100.0,0.807,1.39,False,462.7,3.88,2026-05-09
CMPD-2026-10034,B-02,SMARCA2,CN1CCN(CC1)Cc2ccc(cc2)C(=O)Nc3cccc(c3)C(F)(F)F,30.694,4.51,92.1,0.542,1.01,False,426.9,3.4,2026-02-19
CMPD-2026-10035,B-01,SMARCA2,CC1CCN(CC1)c2ccc(cc2)Nc3ncc(c(n3)C4=CCCCCC4)F,0.1084,6.96,83.0,0.926,0.76,True,306.6,1.73,2026-05-03
CMPD-2026-10036,B-01,SMARCA2,CC1CCN(CC1)c2ccc(cc2)Nc3ncc(c(n3)C4=CCCCCC4)F,5.6317,5.25,95.6,0.457,0.57,False,345.9,3.62,2026-03-02
CMPD-2026-10037,B-03,EGFR,c1ccc2c(c1)nc(s2)NC(=O)c3ccc(cc3)Cl,0.0141,7.85,100.0,0.915,1.11,True,411.8,3.87,2026-03-27
CMPD-2026-10038,B-02,EGFR,CN1CCN(CC1)Cc2ccc(cc2)C(=O)Nc3cccc(c3)C(F)(F)F,0.0806,7.09,90.2,0.944,0.82,True,300.6,3.82,2026-05-13
CMPD-2026-10039,B-02,SMARCA2,CN1CCN(CC1)Cc2ccc(cc2)C(=O)Nc3cccc(c3)C(F)(F)F,5.448,5.26,91.0,0.684,0.62,False,426.3,4.39,2026-03-19
CMPD-2026-10040,B-02,SMARCA2,c1ccc2c(c1)nc(s2)NC(=O)c3ccc(cc3)Cl,24.331,4.61,82.5,0.569,0.86,False,364.4,4.12,2026-02-03
CMPD-2026-10041,B-01,EGFR,c1ccc2c(c1)nc(s2)NC(=O)c3ccc(cc3)Cl,5.0774,5.29,77.8,0.658,0.73,False,355.6,3.71,2026-05-08
CMPD-2026-10042,B-01,SMARCA2,CN1CCN(CC1)Cc2ccc(cc2)C(=O)Nc3cccc(c3)C(F)(F)F,2.2973,5.64,98.0,0.66,1.56,False,426.2,3.12,2026-06-04
CMPD-2026-10043,B-02,SMARCA2,c1ccc(cc1)C(=O)Nc2ccc(cc2)S(=O)(=O)N,1.3762,5.86,77.7,0.771,1.31,False,408.9,1.37,2026-02-09
CMPD-2026-10044,B-01,EGFR,CC1CCN(CC1)c2ccc(cc2)Nc3ncc(c(n3)C4=CCCCCC4)F,0.0532,7.27,88.9,0.695,1.05,False,356.5,3.67,2026-01-27
CMPD-2026-10045,B-01,SMARCA2,CC1CCN(CC1)c2ccc(cc2)Nc3ncc(c(n3)C4=CCCCCC4)F,0.4327,6.36,82.3,0.776,1.49,False,455.4,3.43,2026-06-30
CMPD-2026-10046,B-02,EGFR,c1ccc(cc1)C(=O)Nc2ccc(cc2)S(=O)(=O)N,0.8856,6.05,93.7,0.822,1.07,False,309.7,3.5,2026-06-02
CMPD-2026-10047,B-01,SMARCA2,CN1CCN(CC1)Cc2ccc(cc2)C(=O)Nc3cccc(c3)C(F)(F)F,58.6876,4.23,92.0,0.524,0.79,False,420.0,1.8,2026-01-18
CMPD-2026-10048,B-02,EGFR,c1ccc2c(c1)nc(s2)NC(=O)c3ccc(cc3)Cl,8.1723,5.09,100.0,0.624,1.51,False,418.6,2.01,2026-02-07
CMPD-2026-10049,B-02,EGFR,CN1CCN(CC1)Cc2ccc(cc2)C(=O)Nc3cccc(c3)C(F)(F)F,0.0242,7.62,81.9,0.99,1.21,True,359.9,4.36,2026-03-16
CMPD-2026-10050,B-03,SMARCA2,c1ccc2c(c1)nc(s2)NC(=O)c3ccc(cc3)Cl,7.7428,5.11,84.8,0.729,0.74,False,401.2,3.16,2026-02-26
CMPD-2026-10051,B-02,EGFR,COc1cc2c(nc(nc2cc1OCC)N3CCN(CC3)C(=O)C4CCCO4)N,1.0912,5.96,76.3,0.66,0.99,False,298.7,3.95,2026-04-29
CMPD-2026-10052,B-01,EGFR,c1ccc2c(c1)nc(s2)NC(=O)c3ccc(cc3)Cl,0.4872,6.31,82.7,0.816,0.79,False,440.1,3.23,2026-05-19
CMPD-2026-10053,B-03,SMARCA2,c1ccc(cc1)CN2CCN(CC2)c3cccc(c3)Cl,17.14,4.77,92.5,0.684,0.64,False,368.0,3.23,2026-05-18
CMPD-2026-10054,B-02,EGFR,CC1CCN(CC1)c2ccc(cc2)Nc3ncc(c(n3)C4=CCCCCC4)F,54.6009,4.26,97.1,0.521,1.33,False,346.0,4.23,2026-03-10
CMPD-2026-10055,B-03,EGFR,c1ccc(cc1)C(=O)Nc2ccc(cc2)S(=O)(=O)N,41.4511,4.38,76.9,0.61,1.62,False,448.2,2.63,2026-04-27
CMPD-2026-10056,B-01,SMARCA2,CN1CCN(CC1)Cc2ccc(cc2)C(=O)Nc3cccc(c3)C(F)(F)F,0.3111,6.51,98.4,0.689,0.63,False,334.2,3.31,2026-01-30
CMPD-2026-10057,B-02,SMARCA2,CC1CCN(CC1)c2ccc(cc2)Nc3ncc(c(n3)C4=CCCCCC4)F,1.3457,5.87,100.0,0.74,1.22,False,288.5,2.69,2026-02-26
CMPD-2026-10058,B-01,EGFR,CC1CCN(CC1)c2ccc(cc2)Nc3ncc(c(n3)C4=CCCCCC4)F,7.898,5.1,93.0,0.67,0.85,False,278.8,2.72,2026-04-22
CMPD-2026-10059,B-03,EGFR,Cc1ccc(nc1)Nc2cc(nn2C)c3ccc(cc3)F,46.844,4.33,100.0,0.562,0.9,False,419.4,2.86,2026-01-15
CMPD-2026-10060,B-02,SMARCA2,c1ccc(cc1)CN2CCN(CC2)c3cccc(c3)F,0.8414,6.07,78.7,0.788,0.87,False,296.8,3.44,2026-04-24
CMPD-2026-10061,B-03,SMARCA2,c1ccc(cc1)CN2CCN(CC2)c3cccc(c3)Cl,1.8933,5.72,73.1,0.684,0.79,False,494.1,2.67,2026-03-23
CMPD-2026-10062,B-03,EGFR,CC1CCN(CC1)c2ccc(cc2)Nc3ncc(c(n3)C4=CCCCCC4)F,0.1487,6.83,66.7,0.876,1.06,True,244.7,4.58,2026-05-11
CMPD-2026-10063,B-02,EGFR,c1ccc(cc1)CN2CCN(CC2)c3cccc(c3)Cl,0.116,6.94,100.0,0.875,0.8,True,490.3,2.22,2026-03-29
CMPD-2026-10064,B-03,EGFR,COc1cc2c(nc(nc2cc1OC)N3CCN(CC3)C(=O)C4CCCO4)N,29.856,4.52,95.9,0.393,1.13,False,393.7,2.99,2026-05-03
CMPD-2026-10065,B-01,EGFR,c1ccc(cc1)C(=O)Nc2ccc(cc2)S(=O)(=O)N,100.0,4.0,87.3,0.517,1.03,False,373.7,2.72,2026-07-12
CMPD-2026-10066,B-03,EGFR,COc1cc2c(nc(nc2cc1OC)N3CCN(CC3)C(=O)C4CCCO4)N,2.5917,5.59,91.4,0.761,0.98,False,344.6,4.79,2026-06-06
CMPD-2026-10067,B-01,SMARCA2,Cc1ccc(nc1)Nc2cc(nn2C)c3ccc(cc3)F,50.6104,4.3,74.5,0.591,0.78,False,405.9,3.42,2026-07-03
CMPD-2026-10068,B-01,EGFR,c1ccc(cc1)CN2CCN(CC2)c3cccc(c3)Cl,8.5894,5.07,100.0,0.69,0.88,False,377.6,4.34,2026-05-19
CMPD-2026-10069,B-03,EGFR,c1ccc(cc1)CN2CCN(CC2)c3cccc(c3)Cl,0.5319,6.27,89.6,0.823,1.28,False,451.7,1.57,2026-02-23
CMPD-2026-10070,B-01,EGFR,c1ccc(cc1)CN2CCN(CC2)c3cccc(c3)Cl,8.5837,5.07,89.3,0.618,1.2,False,387.4,3.49,2026-03-04
CMPD-2026-10071,B-02,SMARCA2,c1ccc(cc1)CN2CCN(CC2)c3cccc(c3)Cl,100.0,4.0,96.7,0.577,0.76,False,389.8,4.18,2026-03-31
CMPD-2026-10072,B-01,EGFR,c1ccc(cc1)CN2CCN(CC2)c3cccc(c3)Cl,2.8642,5.54,93.8,0.696,1.08,False,356.4,3.29,2026-03-11
CMPD-2026-10073,B-01,SMARCA2,CC1CCN(CC1)c2ccc(cc2)Nc3ncc(c(n3)C4=CCCCCC4)F,100.0,4.0,90.7,0.556,1.28,False,376.3,4.37,2026-01-29
CMPD-2026-10074,B-01,SMARCA2,c1ccc(cc1)CN2CCN(CC2)c3cccc(c3)Cl,0.0023,8.64,78.5,0.99,0.55,True,400.0,2.63,2026-06-12
CMPD-2026-10075,B-02,EGFR,c1ccc(cc1)CN2CCN(CC2)c3cccc(c3)Cl,30.6396,4.51,93.7,0.634,1.21,False,268.8,4.75,2026-06-02
CMPD-2026-10076,B-02,EGFR,c1ccc2c(c1)nc(s2)NC(=O)c3ccc(cc3)Cl,4.0221,5.4,100.0,0.651,0.85,False,292.4,5.73,2026-01-30
CMPD-2026-10077,B-02,SMARCA2,CN1CCN(CC1)Cc2ccc(cc2)C(=O)Nc3cccc(c3)C(F)(F)F,1.3842,5.86,100.0,0.741,1.22,False,428.3,2.8,2026-04-05
CMPD-2026-10078,B-03,SMARCA2,c1ccc(cc1)C(=O)Nc2ccc(cc2)S(=O)(=O)N,4.0749,5.39,100.0,0.647,0.82,False,391.1,2.71,2026-01-29
CMPD-2026-10079,B-02,SMARCA2,CC1CCN(CC1)c2ccc(cc2)Nc3ncc(c(n3)C4=CCCCCC4)F,0.013,7.89,81.9,0.99,0.51,True,368.0,4.8,2026-01-27
CMPD-2026-10080,B-01,SMARCA2,COc1cc2c(nc(nc2cc1OC)N3CCN(CC3)C(=O)C4CCCO4)N,1.7234,5.76,76.1,0.798,0.56,False,381.2,4.94,2026-06-13
CMPD-2026-10081,B-02,SMARCA2,c1ccc(cc1)CN2CCN(CC2)c3cccc(c3)Cl,8.4827,5.07,86.5,0.621,1.06,False,402.6,2.62,2026-05-17
CMPD-2026-10082,B-02,EGFR,CC1CCN(CC1)c2ccc(cc2)Nc3ncc(c(n3)C4=CCCCCC4)F,100.0,4.0,88.7,0.427,1.13,False,344.9,2.74,2026-05-23
CMPD-2026-10083,B-01,EGFR,Cc1ccc(nc1)Nc2cc(nn2C)c3ccc(cc3)F,0.7552,6.12,100.0,0.676,0.78,False,329.4,2.89,2026-05-30
CMPD-2026-10084,B-03,EGFR,c1ccc(cc1)CN2CCN(CC2)c3cccc(c3)Cl,0.3387,6.47,67.7,0.508,1.24,False,392.7,1.72,2026-02-24
